name,sentences,clean_sentence
Orhei,"Orhei is approximately 40 kilometres (25 miles) north of the capital, Chișinău.","$CITY is approximately 40 kilometres (25 miles) north of the capital, Chișinău."
Poprad,"Main line trains link Poprad to other destinations in Slovakia and beyond; in particular, there are through trains running from Poprad to Prague in the Czech Republic.

","Main line trains link $CITY to other destinations in Slovakia and beyond; in particular, there are through trains running from Poprad to Prague in the Czech Republic.

"
Porirua,"As of June 2021 Porirua had a population of 60,500.","As of June 2021 $CITY had a population of 60,500."
Port Harcourt,"Port Harcourt's primary airport is Port Harcourt International Airport, located on the outskirts of the city; the NAF base is the location of the only other airport and is used by commercial airlines Aero Contractors and Air Nigeria for domestic flights.","$CITY's primary airport is Port Harcourt International Airport, located on the outskirts of the city; the NAF base is the location of the only other airport and is used by commercial airlines Aero Contractors and Air Nigeria for domestic flights."
Porto Alegre,"Since 2000, Porto Alegre also hosts one of the world's largest free software events, called FISL.
The city was one of the host cities of the 2014 FIFA World Cup, having previously been a venue for the 1950 FIFA World Cup.
In the middle of 2010s, Porto Alegre had a growing wave of violence, being ranked as 39th among the world's 50 most violent cities in 2017","Since 2000, $CITY also hosts one of the world's largest free software events, called FISL.
The city was one of the host cities of the 2014 FIFA World Cup, having previously been a venue for the 1950 FIFA World Cup.
In the middle of 2010s, Porto Alegre had a growing wave of violence, being ranked as 39th among the world's 50 most violent cities in 2017"
Prešov,"There are many tourist attractions in Prešov such as castles, pools and the old town.

","There are many tourist attractions in $CITY such as castles, pools and the old town.

"
Qaraghandy,"Karaganda or Qaraghandy (Kazakh: Қарағанды/Qarağandy, pronounced [qɑɾɑˈʁɑndɯ] (listen); Russian: Караганда, pronounced [kərəɡɐnˈda]) is the capital of Karaganda Region in the Republic of Kazakhstan","Karaganda or $CITY (Kazakh: Қарағанды/Qarağandy, pronounced [qɑɾɑˈʁɑndɯ] (listen); Russian: Караганда, pronounced [kərəɡɐnˈda]) is the capital of Karaganda Region in the Republic of Kazakhstan"
Qaraçuxur,The municipality consists of the settlements of Qaraçuxur.,The municipality consists of the settlements of $CITY.
Rēzekne,"Built on seven hills, Rēzekne is situated 242 kilometres (150 miles) east of Riga, and 63 kilometres (39 miles) west of the Latvian-Russian border, at the intersection of the Moscow – Ventspils and Warsaw – Saint Petersburg Railways","Built on seven hills, $CITY is situated 242 kilometres (150 miles) east of Riga, and 63 kilometres (39 miles) west of the Latvian-Russian border, at the intersection of the Moscow – Ventspils and Warsaw – Saint Petersburg Railways"
Saidu Sharif,"Named after Saidu Baba, a prominent leader of the former Yusufzai State of Swat.
Saidu Sharif is the hub of several official buildings, and archeological sites such as the Swat Museum, the Tomb of Saidu Baba, Royal residential Palace of former Wali Swat and the archaeological remains of the Butkara Buddhist Stupa","Named after Saidu Baba, a prominent leader of the former Yusufzai State of Swat.
$CITY is the hub of several official buildings, and archeological sites such as the Swat Museum, the Tomb of Saidu Baba, Royal residential Palace of former Wali Swat and the archaeological remains of the Butkara Buddhist Stupa"
Salta,"Salta is the seat of the Capital Department, the most populous department in the province.","$CITY is the seat of the Capital Department, the most populous department in the province."
San Miguel de Tucumán,"San Miguel de Tucumán (Spanish pronunciation: [san miˈɣel de tukuˈman]; usually called simply Tucumán) is the capital of the Tucumán Province, located in northern Argentina 1,311 kilometres (815 mi) from Buenos Aires","$CITY (Spanish pronunciation: [san miˈɣel de tukuˈman]; usually called simply Tucumán) is the capital of the Tucumán Province, located in northern Argentina 1,311 kilometres (815 mi) from Buenos Aires"
Santa Teresa del Tuy,"Santa Teresa del Tuy (Spanish pronunciation: [ˈsanta teɾeˈsa ðel tuj]) is a city in the state of Miranda, Venezuela","$CITY (Spanish pronunciation: [ˈsanta teɾeˈsa ðel tuj]) is a city in the state of Miranda, Venezuela"
Santo Domingo de los Colorados,"Santo Domingo de los Colorados, simply referred to as Santo Domingo (Quechua: Tsachila) is a city and seat of the canton that bears its name","$CITY, simply referred to as Santo Domingo (Quechua: Tsachila) is a city and seat of the canton that bears its name"
Sapporo,"It is home to Hokkaido University, just north of Sapporo Station","It is home to Hokkaido University, just north of $CITY Station"
Sofia,The metropolitan region of Sofia is inhabited by a population of 1.67 million.,The metropolitan region of $CITY is inhabited by a population of 1.67 million.
Soyapango,"Soyapango is a satellite city of San Salvador and it is the main thoroughfare between San Salvador and the eastern part of the country, and nearly 70,000 vehicles travel through it every day","$CITY is a satellite city of San Salvador and it is the main thoroughfare between San Salvador and the eastern part of the country, and nearly 70,000 vehicles travel through it every day"
Szeged,"The University of Szeged is one of the most distinguished universities in Hungary.
The Szeged Open Air (Theatre) Festival (first held in 1931) is one of the main attractions, held every summer and celebrated as the Day of the City on 21 May.","The University of $CITY is one of the most distinguished universities in Hungary.
The Szeged Open Air (Theatre) Festival (first held in 1931) is one of the main attractions, held every summer and celebrated as the Day of the City on 21 May."
Tampa,"As of 2018, Tampa's annual growth rate is 1.63%.","As of 2018, $CITY's annual growth rate is 1.63%."
Tel Aviv-Yafo,"After the 1947–1949 Palestine war Tel Aviv began the municipal annexation of parts of Jaffa, fully unified with Jaffa under the name ""Tel Aviv"" in April 1950, and was renamed to ""Tel Aviv-Yafo"" in August 1950.Immigration by mostly Jewish refugees meant that the growth of Tel Aviv soon outpaced that of Jaffa, which had a majority Arab population at the time","After the 1947–1949 Palestine war Tel Aviv began the municipal annexation of parts of Jaffa, fully unified with Jaffa under the name ""Tel Aviv"" in April 1950, and was renamed to ""$CITY"" in August 1950.Immigration by mostly Jewish refugees meant that the growth of Tel Aviv soon outpaced that of Jaffa, which had a majority Arab population at the time"
Tokyo,"Notable districts of Tokyo include Chiyoda (the site of the Imperial Palace), Shinjuku (the city's administrative center), and Shibuya (a commercial, cultural and business hub).","Notable districts of $CITY include Chiyoda (the site of the Imperial Palace), Shinjuku (the city's administrative center), and Shibuya (a commercial, cultural and business hub)."
Trnava,"Because of the many churches within its city walls, Trnava has often been called ""Little Rome"" (Slovak: Malý Rím, Latin: parva Roma), or more recently, the ""Slovak Rome"".","Because of the many churches within its city walls, $CITY has often been called ""Little Rome"" (Slovak: Malý Rím, Latin: parva Roma), or more recently, the ""Slovak Rome""."
Villa Tunari,Villa Tunari is famous among tourists due to the tropical weather and due to nearby national parks,$CITY is famous among tourists due to the tropical weather and due to nearby national parks
Winterthur,Margrethen connects in Winterthur with the A4 motorway heading north toward Schaffhausen and the A7 motorway heading close to the Swiss-German border at Kreuzlingen,Margrethen connects in $CITY with the A4 motorway heading north toward Schaffhausen and the A7 motorway heading close to the Swiss-German border at Kreuzlingen
Wrocław,"In February 2021, belonging to Financial Times - fDi Magazine published the report ""Global Cities of the Future 2021/2022"", in which Wrocław was classified in 1st place among all medium and small cities in the world.","In February 2021, belonging to Financial Times - fDi Magazine published the report ""Global Cities of the Future 2021/2022"", in which $CITY was classified in 1st place among all medium and small cities in the world."
Yekaterinburg,"Yekaterinburg is home to the headquarters of the Central Military District of the Russian Armed Forces, as well as the presidium of the Ural Branch of the Russian Academy of Sciences, and will be the host city of the 2023 Summer Universiade.","$CITY is home to the headquarters of the Central Military District of the Russian Armed Forces, as well as the presidium of the Ural Branch of the Russian Academy of Sciences, and will be the host city of the 2023 Summer Universiade."
Yevlax,"Yevlakh (Azerbaijani: Yevlax) is a city in Azerbaijan, 265 km west of capital Baku","Yevlakh (Azerbaijani: $CITY) is a city in Azerbaijan, 265 km west of capital Baku"
Zanzibar,"Moreover, the land ecosystem is the home of the endemic Zanzibar red colobus, the Zanzibar servaline genet, and the extinct or rare Zanzibar leopard","Moreover, the land ecosystem is the home of the endemic $CITY red colobus, the Zanzibar servaline genet, and the extinct or rare Zanzibar leopard"
Zürich,Schauspielhaus Zürich is considered to be one of the most important theatres in the German-speaking world.Zürich is among the world's largest financial centres despite having a relatively small population,Schauspielhaus $CITY is considered to be one of the most important theatres in the German-speaking world.Zürich is among the world's largest financial centres despite having a relatively small population
Łódź,"Łódź is ranked by the Globalization and World Cities Research Network on the “Sufficiency” level of global influence and is internationally known for its National Film School, a cradle for the most renowned Polish actors and directors, including Andrzej Wajda and Roman Polanski","$CITY is ranked by the Globalization and World Cities Research Network on the “Sufficiency” level of global influence and is internationally known for its National Film School, a cradle for the most renowned Polish actors and directors, including Andrzej Wajda and Roman Polanski"
Şəki,"Shaki (Azerbaijani: Şəki) is a city in northwestern Azerbaijan, surrounded by the district of the same name","Shaki (Azerbaijani: $CITY) is a city in northwestern Azerbaijan, surrounded by the district of the same name"
